,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(3),Corr with student_vol(3),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(-1),Corr with mortgage 90(-1)
10,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
11,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
12,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.2,0.22624050608700735
13,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
14,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
15,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.2,0.22624050608700735
16,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
17,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
18,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.2,0.22624050608700735
19,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
20,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
21,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.2,0.22624050608700735
22,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
23,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
24,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.2,0.22624050608700735
25,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
26,SIOUX CITY,2010-05,3.95,Other FHA,0.2957715789473684,3.6542284210526317,0.09377110178668467,0.3152057894736842,3.634794210526316,0.09777119004208414,0.3354642105263158,3.6145357894736843,0.10582003267489073,0.39242105263157895,3.5575789473684214,0.11731553925362814,0.45851421052631586,3.491485789473684,0.12361293365350028,0.6592468421052632,3.290753157894737,0.11986313279820604,1.129987894736842,2.8200121052631584,0.13818464011841847,0.147,3.8030000000000004,0.08418252537829422,0.22350000000000003,3.7265,0.08497205968713825,0.37099999999999994,3.579,0.12982997524895948,2.1799999999999997,1.7700000000000005,0.5037917917308093,3.4199999999999995,0.5300000000000007,0.5542790388072366,4.1145,-0.16449999999999942,0.45901913711730624,4.286,-0.3359999999999994,0.39266693268151126,29826615528.9652,-0.09976516592455352,11556490165.0911,0.7849448934661746,94.51558950569391,0.3152447352568578,3.2,0.34309188346998076,2.3,0.22624050608700735
27,SIOUX CITY,2011-10,4.05,Other FHA,0.1416352380952381,3.9083647619047617,0.09377110178668467,0.19074095238095234,3.8592590476190476,0.09777119004208414,0.24373904761904758,3.8062609523809523,0.10582003267489073,0.3185252380952381,3.731474761904762,0.11731553925362814,0.4064785714285714,3.6435214285714284,0.12361293365350028,0.59521,3.45479,0.11986313279820604,0.9086428571428572,3.1413571428571427,0.13818464011841847,0.013500000000000003,4.0365,0.08418252537829422,0.05450000000000003,3.9955,0.08497205968713825,0.1145,3.9354999999999998,0.12982997524895948,1.0614999999999999,2.9885,0.5037917917308093,2.1519999999999997,1.8980000000000001,0.5542790388072366,2.8695,1.1804999999999999,0.45901913711730624,3.128,0.9219999999999997,0.39266693268151126,35532707747.113,-0.09976516592455352,11510278467.2037,0.7849448934661746,90.6452366150782,0.3152447352568578,3.7,0.34309188346998076,2.1,0.22624050608700735
