,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol,Corr with auto_vol,student_vol(-1),Corr with student_vol(-1),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-1),Corr with mortgage 90(-1)
0,NASHVILLE,2010-08,4.73,Improvements_Additions for Apartments_Coops,0.23101619047619049,4.49898380952381,0.25350896237059534,0.2659952380952381,4.4640047619047625,0.258079327414901,0.27546238095238096,4.45453761904762,0.2593633224926705,0.3123080952380952,4.417691904761905,0.26047721309848876,0.3625466666666667,4.367453333333334,0.2620353162059508,0.5790957142857143,4.150904285714287,0.25151655207071466,0.9435780952380955,3.7864219047619048,0.2446882450112097,0.15409090909090908,4.575909090909091,0.25303075819991844,0.19136363636363637,4.538636363636364,0.25764052515827496,0.25909090909090904,4.470909090909092,0.2723877987770721,1.4654545454545451,3.2645454545454555,0.3978238461550835,2.6986363636363637,2.0313636363636367,0.3382248589920359,3.516818181818181,1.2131818181818192,0.1796967877671559,3.8031818181818178,0.9268181818181827,0.14178310710515613,29160609360.1217,0.1717962605472077,10534224377.9144,-0.24085825905209707,92.4549564204629,-0.13623938941855065,4.3,-0.21814466245376385,3.4,-0.19257356276838059
1,NASHVILLE,2010-12,2.9,Improvements_Additions for Apartments_Coops,0.24122190476190472,2.658778095238095,0.25350896237059534,0.25412380952380953,2.6458761904761903,0.258079327414901,0.26178857142857137,2.6382114285714287,0.2593633224926705,0.28196571428571415,2.6180342857142858,0.26047721309848876,0.30272333333333334,2.5972766666666667,0.2620353162059508,0.4583942857142857,2.441605714285714,0.25151655207071466,0.7839004761904763,2.1160995238095235,0.2446882450112097,0.0854166666666667,2.814583333333333,0.25303075819991844,0.19333333333333338,2.7066666666666666,0.25764052515827496,0.2937499999999999,2.60625,0.2723877987770721,1.9429166666666664,0.9570833333333335,0.3978238461550835,3.2949999999999995,-0.3949999999999996,0.3382248589920359,4.173333333333333,-1.273333333333333,0.1796967877671559,4.415,-1.5150000000000001,0.14178310710515613,31044830349.9256,0.1717962605472077,11082139451.8714,-0.24085825905209707,93.74313363440879,-0.13623938941855065,4.4,-0.21814466245376385,3.4,-0.19257356276838059
2,NASHVILLE,2011-04,4.78,Improvements_Additions for Apartments_Coops,0.14759444444444447,4.632405555555556,0.25350896237059534,0.19237777777777781,4.5876222222222225,0.258079327414901,0.22143500000000005,4.558565,0.2593633224926705,0.25190277777777786,4.528097222222223,0.26047721309848876,0.28138222222222226,4.498617777777778,0.2620353162059508,0.44229888888888896,4.3377011111111115,0.25151655207071466,0.7700555555555555,4.009944444444445,0.2446882450112097,0.029500000000000005,4.750500000000001,0.25303075819991844,0.11950000000000002,4.6605,0.25764052515827496,0.24650000000000002,4.5335,0.2723877987770721,2.169,2.611,0.3978238461550835,3.4549999999999996,1.3250000000000006,0.3382248589920359,4.276000000000001,0.5039999999999996,0.1796967877671559,4.5015,0.2785000000000002,0.14178310710515613,31252070876.7547,0.1717962605472077,11311909309.5948,-0.24085825905209707,90.24550000965358,-0.13623938941855065,3.6,-0.21814466245376385,3.1,-0.19257356276838059
3,NASHVILLE,2011-11,3.98,Improvements_Additions for Apartments_Coops,0.14255090909090912,3.837449090909091,0.25350896237059534,0.19244863636363635,3.787551363636364,0.258079327414901,0.2536463636363637,3.726353636363636,0.2593633224926705,0.3593790909090909,3.620620909090909,0.26047721309848876,0.47529181818181826,3.504708181818182,0.2620353162059508,0.6805422727272729,3.2994577272727272,0.25151655207071466,1.000305,2.979695,0.2446882450112097,0.013999999999999999,3.966,0.25303075819991844,0.04650000000000002,3.9335,0.25764052515827496,0.11200000000000002,3.868,0.2723877987770721,0.908,3.072,0.3978238461550835,2.0134999999999996,1.9665000000000004,0.3382248589920359,2.7180000000000004,1.2619999999999996,0.1796967877671559,3.0155000000000003,0.9644999999999997,0.14178310710515613,34825519831.2788,0.1717962605472077,10258833668.6773,-0.24085825905209707,90.7743282432688,-0.13623938941855065,3.8,-0.21814466245376385,2.9,-0.19257356276838059
4,NASHVILLE,2012-01,3.93,Improvements_Additions for Apartments_Coops,0.14564761904761903,3.784352380952381,0.25350896237059534,0.2014238095238095,3.7285761904761907,0.258079327414901,0.28289523809523814,3.647104761904762,0.2593633224926705,0.41424761904761903,3.515752380952381,0.26047721309848876,0.5659000000000001,3.3641,0.2620353162059508,0.7969761904761906,3.1330238095238094,0.25151655207071466,1.1145476190476191,2.8154523809523813,0.2446882450112097,0.0245,3.9055,0.25303075819991844,0.06550000000000003,3.8645,0.25764052515827496,0.11500000000000003,3.815,0.2723877987770721,0.835,3.095,0.3978238461550835,1.9664999999999995,1.9635000000000007,0.3382248589920359,2.6950000000000003,1.2349999999999999,0.1796967877671559,3.026,0.9040000000000004,0.14178310710515613,35385458151.3724,0.1717962605472077,11508699084.1195,-0.24085825905209707,90.0868950067716,-0.13623938941855065,4.2,-0.21814466245376385,2.9,-0.19257356276838059
5,NASHVILLE,2012-03,3.24,Improvements_Additions for Apartments_Coops,0.14720000000000003,3.0928,0.25350896237059534,0.1893409090909091,3.050659090909091,0.258079327414901,0.24185227272727275,2.9981477272727273,0.2593633224926705,0.35079999999999995,2.8892,0.26047721309848876,0.4732886363636363,2.766711363636364,0.2620353162059508,0.741275,2.4987250000000003,0.25151655207071466,1.0534477272727274,2.1865522727272726,0.2446882450112097,0.06363636363636366,3.1763636363636367,0.25303075819991844,0.14227272727272727,3.097727272727273,0.25764052515827496,0.19000000000000003,3.0500000000000003,0.2723877987770721,1.0172727272727273,2.2227272727272727,0.3978238461550835,2.1727272727272724,1.0672727272727278,0.3382248589920359,2.9404545454545454,0.2995454545454548,0.1796967877671559,3.281363636363636,-0.0413636363636356,0.14178310710515613,35767585536.868996,0.1717962605472077,10728874885.7875,-0.24085825905209707,89.6038877472871,-0.13623938941855065,3.6,-0.21814466245376385,3.0,-0.19257356276838059
6,NASHVILLE,2012-04,2.95,Improvements_Additions for Apartments_Coops,0.14868421052631575,2.8013157894736844,0.25350896237059534,0.18980526315789473,2.7601947368421054,0.258079327414901,0.23982894736842097,2.710171052631579,0.2593633224926705,0.34777368421052635,2.6022263157894736,0.26047721309848876,0.46680789473684203,2.483192105263158,0.2620353162059508,0.7313999999999999,2.2186000000000003,0.25151655207071466,1.048621052631579,1.9013789473684213,0.2446882450112097,0.0666666666666667,2.8833333333333333,0.25303075819991844,0.13904761904761903,2.810952380952381,0.25764052515827496,0.18333333333333335,2.7666666666666666,0.2723877987770721,0.8947619047619045,2.0552380952380958,0.3978238461550835,2.0528571428571425,0.8971428571428577,0.3382248589920359,2.8166666666666664,0.13333333333333375,0.1796967877671559,3.1842857142857137,-0.23428571428571354,0.14178310710515613,36623269866.4569,0.1717962605472077,11251067892.2966,-0.24085825905209707,89.56768058609659,-0.13623938941855065,3.5,-0.21814466245376385,2.8,-0.19257356276838059
7,NASHVILLE,2012-07,2.5949999999999998,Improvements_Additions for Apartments_Coops,0.16720454545454547,2.4277954545454543,0.25350896237059534,0.19873636363636368,2.3962636363636363,0.258079327414901,0.24646136363636365,2.348538636363636,0.2593633224926705,0.34024999999999994,2.2547499999999996,0.26047721309848876,0.4535545454545455,2.141445454545454,0.2620353162059508,0.7302181818181818,1.864781818181818,0.25151655207071466,1.0653181818181816,1.5296818181818181,0.2446882450112097,0.06952380952380956,2.52547619047619,0.25303075819991844,0.14571428571428574,2.449285714285714,0.25764052515827496,0.18571428571428572,2.409285714285714,0.2723877987770721,0.6195238095238095,1.9754761904761904,0.3978238461550835,1.5266666666666664,1.0683333333333334,0.3382248589920359,2.217142857142857,0.37785714285714267,0.1796967877671559,2.5900000000000003,0.004999999999999449,0.14178310710515613,36601383816.48,0.1717962605472077,14585937143.4485,-0.24085825905209707,89.513287195688,-0.13623938941855065,3.6,-0.21814466245376385,2.7,-0.19257356276838059
8,NASHVILLE,2012-10,2.99,Improvements_Additions for Apartments_Coops,0.15320434782608702,2.836795652173913,0.25350896237059534,0.17955217391304346,2.810447826086957,0.258079327414901,0.21346521739130433,2.776534782608696,0.2593633224926705,0.2717391304347827,2.7182608695652175,0.26047721309848876,0.3304891304347827,2.6595108695652177,0.2620353162059508,0.5823021739130435,2.407697826086957,0.25151655207071466,0.9185760869565219,2.0714239130434784,0.2446882450112097,0.10952380952380951,2.8804761904761906,0.25303075819991844,0.14904761904761904,2.8409523809523813,0.25764052515827496,0.17952380952380956,2.810476190476191,0.2723877987770721,0.7085714285714285,2.2814285714285716,0.3978238461550835,1.7461904761904758,1.2438095238095244,0.3382248589920359,2.505714285714286,0.48428571428571443,0.1796967877671559,2.90047619047619,0.08952380952381,0.14178310710515613,37685204803.0042,0.1717962605472077,11631947675.6117,-0.24085825905209707,89.2801736441717,-0.13623938941855065,3.9,-0.21814466245376385,2.5,-0.19257356276838059
9,NASHVILLE,2012-11,2.85,Improvements_Additions for Apartments_Coops,0.1555,2.6945,0.25350896237059534,0.18060909090909089,2.669390909090909,0.258079327414901,0.20888636363636362,2.6411136363636363,0.2593633224926705,0.25813636363636355,2.5918636363636365,0.26047721309848876,0.31102272727272723,2.538977272727273,0.2620353162059508,0.528347727272727,2.321652272727273,0.25151655207071466,0.8631931818181818,1.9868068181818184,0.2446882450112097,0.12449999999999999,2.7255000000000003,0.25303075819991844,0.14450000000000002,2.7055000000000002,0.25764052515827496,0.17850000000000002,2.6715,0.2723877987770721,0.665,2.185,0.3978238461550835,1.654,1.1960000000000002,0.3382248589920359,2.3894999999999995,0.4605000000000006,0.1796967877671559,2.8034999999999997,0.04650000000000043,0.14178310710515613,38410438812.4053,0.1717962605472077,12022315813.7363,-0.24085825905209707,91.578064558499,-0.13623938941855065,3.6,-0.21814466245376385,2.5,-0.19257356276838059
