,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol,Corr with auto_vol,student_vol,Corr with student_vol,credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90,Corr with mortgage 90
10,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
11,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
12,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
13,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
14,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
15,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
16,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
17,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
18,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
19,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
20,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
21,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
22,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
23,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
24,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
25,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
26,NAPERVILLE,2011-10,3.5,Improvements_Additions for Apartments_Coops,0.1416352380952381,3.358364761904762,-0.036969997391445845,0.19074095238095234,3.3092590476190478,-0.050601391437039844,0.24373904761904758,3.2562609523809525,-0.06549755655538039,0.3185252380952381,3.181474761904762,-0.06871971311404064,0.4064785714285714,3.0935214285714285,-0.09008819355894626,0.59521,2.90479,-0.14860912665494763,0.9086428571428572,2.591357142857143,-0.22112966480139737,0.013500000000000003,3.4865,-0.00020223718749300663,0.05450000000000003,3.4455,-0.07283727219532267,0.1145,3.3855,-0.13482888604887727,1.0614999999999999,2.4385000000000003,-0.07316927952628256,2.1519999999999997,1.3480000000000003,0.08642893305769508,2.8695,0.6305000000000001,0.11375335811302235,3.128,0.3719999999999999,0.12845841097761798,34623712775.9563,-0.2262092557695616,10258833668.6773,-0.4556185711514824,90.5649414475864,-0.8990141539724853,3.3,0.2346540799230609,5.0,0.21945663695674233
